Date,Description,Amount,Category
2024-01-01,Monthly Salary,5000.00,Income
2024-01-02,Apartment Rent,-1200.00,Housing
2024-01-03,Grocery Store,-85.50,Food
2024-01-04,Netflix Subscription,-15.99,Entertainment
2024-01-05,Starbucks Coffee,-4.50,Food
2024-01-06,Gas Station,-45.23,Transportation
2024-01-07,Amazon Purchase,-65.99,Shopping
2024-01-08,Restaurant Dinner,-78.25,Food
2024-01-09,Electricity Bill,-120.50,Utilities
2024-01-10,Phone Bill,-85.00,Utilities
2024-01-11,Gym Membership,-50.00,Health
2024-01-12,Online Shopping,-120.75,Shopping
2024-01-13,Public Transport,-35.00,Transportation
2024-01-14,Weekly Groceries,-95.30,Food
2024-01-15,Spotify Subscription,-9.99,Entertainment
2024-01-16,Doctor Visit,-150.00,Health
2024-01-17,Clothing Store,-89.99,Shopping
2024-01-18,Internet Bill,-60.00,Utilities
2024-01-19,Restaurant Lunch,-25.50,Food
2024-01-20,Car Insurance,-200.00,Insurance
2024-01-21,Pharmacy,-45.75,Health
2024-01-22,Monthly Salary,5000.00,Income
2024-01-23,Home Supplies,-35.20,Shopping
2024-01-24,Takeout Dinner,-32.45,Food
2024-01-25,Water Bill,-45.00,Utilities
2024-01-26,Book Store,-28.99,Entertainment
2024-01-27,Public Transport,-35.00,Transportation
2024-01-28,Weekly Groceries,-92.15,Food
2024-01-29,Online Course,-99.00,Education
2024-01-30,Clothing Store,-75.50,Shopping
2024-01-31,Monthly Savings,-1000.00,Savings 
